Department,Agency,Sub Agency,Site Name (if applicable),Building Name,Building Type,Building Address,Suburb,Postcode,Owned or Leased,Building Unique ID,Frequency of use,Public Access?,Date of Inspection,Estimated Year Built,Est. Building Size (m2),Number of Levels,Construction Type,Roof Type,Internal / External,Level,Room or Area,Location in Room,Specific Item/ACM Name,Friability of material,FIRABILITY NAME EXCEL,ACM Product Group,ACM GROUP NAME EXCEL ,ACM Product Type,NATA Endorsed Sample number (if available),Sample Result,Identifying Hygiene or Consulting Company,Condition,Disturbance Potential,Quantity,Labelled,Label Details,Hygienist Recommendations,Additional Comments,PSB Supplied ACM ID,Assumed Removed?,Date of Removal,Quantity Removed,Asbestos Removal Notification No,EPA Waste Transport Certificate No,Removal Comments,Photo Reference Number
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Myrtle Street Clinic,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,1990,800.00,1,,Metal,External,Ground,Exterior,Eaves,Eaves,Non-friable,,Cement products,Cement_products,Flat Sheeting,J169642-001-001,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,Painted White,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Myrtle Street Clinic,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,1990,800.00,1,,Metal,External,Ground,Exterior,Wall,Wall(s),Non-friable,,Cement products,Cement_products,Flat Sheeting,J169642-001-002,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,Textured Painted White,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Mortuary Buildings,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,1990,800.00,1,,Metal,External,Ground,Exterior,Window Frames,Window Frame,Non-friable,,"Gasket, friction products and adhesives",Gasket__friction_products_and_adhesives,Mastic,J169642-001-004,Positive,Greencap Pty Ltd,Fair,Low,,NO,,"Maintain in current condition, label
and incorporate into an AMP.
Remove by licensed asbestos
contractor prior to demolition or
refurbishment.",,,,,,,,,J169642-001-PHOTO011.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Mortuary Buildings,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,1990,800.00,1,,Metal,Internal,Ground,Boiler Room,Fire Door,Fire Door(s),Friable,,Insulation products (f),,Fire Door Core,Not Sampled,Assumed Positive,Greencap Pty Ltd,Fair,Low,,NO,,"Confirm status, label, maintain in
current condition and incorporate
into an AMP. Remove by licensed
asbestos contractor prior to
demolition or refurbishment",,,,,,,,,J169642-001-PHOTO010.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Mortuary Buildings,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,1990,800.00,1,,Metal,Internal,Ground,Mortuary Room,Ceiling,Ceiling,Non-friable,,Cement products,,Flat Sheeting,Not Sampled,Assumed Positive,Greencap Pty Ltd,Good,Low,,NO,,"Confirm status, label, maintain in
current condition and incorporate
into an AMP. Remove by licensed
asbestos contractor prior to
demolition or refurbishment",Height Restricted,,,,,,,,J169642-001-PHOTO008.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Mortuary Buildings,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,1990,800.00,1,,Metal,Internal,Ground,Mortuary Room,Wall,Wall(s),Non-friable,Non_friable,Other,Other,Masonry,Not Sampled,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Mortuary Buildings,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,1990,800.00,1,,Metal,Internal,Ground,Shower Room,Cubicle - Behind Ceramic Tile,Shower Cubicle,Non-friable,Non_friable,Cement products,Cement_products,Flat Sheeting,Not Sampled,Assumed Positive,Greencap Pty Ltd,Unknown,Unknown,,NO,,"Confirm status, label, maintain in
current condition and incorporate
into an AMP. Remove by licensed
asbestos contractor prior to
demolition or refurbishment.",No Access,,,,,,,,J169642-001-PHOTO007.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Mortuary Buildings,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,1990,800.00,1,,Metal,Internal,Ground,Shower Room,Cubicle - Beneath Shower Tray,Shower Cubicle,Non-friable,Non_friable,Cement products,Cement_products,Flat Sheeting,Not Sampled,Assumed Positive,Greencap Pty Ltd,Unknown,Unknown,,NO,,"Confirm status, label, maintain in
current condition and incorporate
into an AMP. Remove by licensed
asbestos contractor prior to
demolition or refurbishment.",No Access,,,,,,,,J169642-001-PHOTO004.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Mortuary Buildings,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,1990,800.00,1,,Metal,Internal,Ground,Shower Room,Above Door,Infill panels,Non-friable,Non_friable,Cement products,Cement_products,Flat Sheeting,As Per J134889-01,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Pathology Department,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,1990,800.00,1,,Metal,Internal,Ground,Kitchen,Under Sink - Sink Lining,Lining,Non-friable,Non_friable,Bitumen products,Bitumen_products,Internal Lining,J169642-001-019,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,VMO Accommodations,Accommodation unit,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,100.00,,,,External,Ground,Exterior,Beneath Window Wall,Unknown,Non-friable,Non_friable,Cement products,Cement_products,Flat Sheeting,J169642-001-021,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,Rendered and Painted Cream,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,VMO Accommodations,Accommodation unit,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,100.00,,,,External,Ground,Exterior,On Ground Debris,Debris,Friable,Friable,Cement products (f),Cement_products__f,Flat Sheeting,As Per J169642-001-020,Assumed Positive,Greencap Pty Ltd,Poor,Low,,NO,,"Maintain in current condition, label
and incorporate into an AMP.
Remove by licensed asbestos
contractor prior to demolition or
refurbishment.",,,,,,,,,J169642-001-PHOTO065.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,VMO Accommodations,Accommodation unit,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,100.00,,,,External,Sub-Floor,Exterior,Debris,Debris,Friable,Friable,Cement products (f),Cement_products__f,Flat Sheeting,J169642-001-020,Positive,Greencap Pty Ltd,Poor,Low,,NO,,"Maintain in current condition, label
and incorporate into an AMP.
Remove by licensed asbestos
contractor prior to demolition or
refurbishment.",,,,,,,,,J169642-001-PHOTO063.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,VMO Accommodations,Accommodation unit,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,100.00,,,,External,Ground,Exterior,Eaves,Eaves,Non-friable,Non_friable,Cement products,Cement_products,Flat Sheeting,Not Sampled,Assumed Positive,Greencap Pty Ltd,Good,Low,,NO,,"Confirm status, label, maintain in
current condition and incorporate
into an AMP. Remove by licensed
asbestos contractor prior to
demolition or refurbishment.",Painted White,,,,,,,,J169642-001-PHOTO062.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,External,Ground,Exterior,Adjacent Workshop Gable End,Gable lining,Non-friable,Non_friable,Cement products,Cement_products,Flat Sheeting,J169642-001-018,Positive,Greencap Pty Ltd,Fair,Low,,NO,,"Maintain in current condition, label
and incorporate into an AMP.
Remove by licensed asbestos
contractor prior to demolition or
refurbishment.",Painted White,,,,,,,,J169642-001-PHOTO054.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,External,Ground,Roof,Ductwork,Ductwork,Non-friable,Non_friable,"Gasket, friction products and adhesives",Gasket__friction_products_and_adhesives,Mastic,Not Sampled,Assumed Positive,Greencap Pty Ltd,Unknown,Low,,NO,,"Confirm status, label, maintain in
current condition and incorporate
into an AMP. Remove by licensed
asbestos contractor prior to
demolition or refurbishment.",,,,,,,,,J169642-001-PHOTO057.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,External,Ground,Exterior,Porch Ceiling,Porch ceiling,Non-friable,Non_friable,Cement products,Cement_products,Flat Sheeting,As Per 35766/11,Positive,Greencap Pty Ltd,Good,Low,,NO,,"Maintain in current condition, label
and incorporate into an AMP.
Remove by licensed asbestos
contractor prior to demolition or
refurbishment.",,,,,,,,,J169642-001-PHOTO059.jpg J169642-001-PHOTO060.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,External,Ground,Exterior,South Window Frames,Window Frame,Non-friable,Non_friable,"Gasket, friction products and adhesives",Gasket__friction_products_and_adhesives,Mastic,J169642-001-016,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,External,Ground,North Courtyard,Expansion Joint,Expansion joint,Non-friable,Non_friable,"Gasket, friction products and adhesives",Gasket__friction_products_and_adhesives,Mastic,J169642-001-015,Positive,Greencap Pty Ltd,Good,Low,,NO,,"Maintain in current condition, label
and incorporate into an AMP.
Remove by licensed asbestos
contractor prior to demolition or
refurbishment.",,,,,,,,,J169642-001-PHOTO039.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Ground,Bathroom Adjacent Labour Ward,Shower Cubicle - Beneath Shower Tray,Shower Cubicle,Non-friable,Non_friable,Cement products,Cement_products,Flat Sheeting,Not Sampled,Assumed Positive,Greencap Pty Ltd,Good,Low,,NO,,"Confirm status, label, maintain in
current condition and incorporate
into an AMP. Remove by licensed
asbestos contractor prior to
demolition or refurbishment",No Access,,,,,,,,J169642-001-PHOTO043.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Mezzanine,Boiler Room South,Mezzanine Floor,Flue,Non-friable,Non_friable,"Gasket, friction products and adhesives",Gasket__friction_products_and_adhesives,Rope or Braided Gasket,J169642-001-006,Positive,Greencap Pty Ltd,Poor,Low,,NO,,"Engage a licensed asbestos
contractor to undertake
remedial/removal works on this
item as soon as practicable (within
3 months).",,,,,,,,,J169642-001-PHOTO014.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Mezzanine,Boiler Room South,Mezzanine Floor - Plant and Equipment,Boiler Gasket,Non-friable,Non_friable,"Gasket, friction products and adhesives",Gasket__friction_products_and_adhesives,Gasket(s),J169642-001-005,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Ground,CCSD - Entry,Fire Door,Fire Door(s),Friable,Friable,Insulation products (f),Insulation_products__f,Fire Door Core,Not Sampled,Assumed Positive,Greencap Pty Ltd,Good,Low,,NO,,"Confirm status, label, maintain in
current condition and incorporate
into an AMP. Remove by licensed
asbestos contractor prior to
demolition or refurbishment",No Access,,,,,,,,J169642-001-PHOTO029.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Ground,East Passage,Floor ,Floor covering adhesive,Non-friable,Non_friable,Vinyl products,Vinyl_products,Vinyl sheet and adhesive ,J169642-001-010,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,Black Floor covering previously partially removed,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Ground,East Passage - Linen Store,Floor ,Floor covering,Non-friable,Non_friable,Vinyl products,Vinyl_products,Vinyl Tiles ,J169642-001-011,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,Brown Loose Piece,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Ground,East Passage - Linen Store,Floor ,Floor covering,Non-friable,Non_friable,Vinyl products,Vinyl_products,Hessian backed Vinyl sheet ,J169642-001-013,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Ground,East Passage - Linen Store,Floor ,Floor covering adhesive,Non-friable,Non_friable,Vinyl products,Vinyl_products,Vinyl tiles and adhesive ,J169642-001-012,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,Black Attached to Brown Loose Piece,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Ground,Flamable Liquids Store,Ceiling,Ceiling,Non-friable,Non_friable,Cement products,Cement_products,Flat Sheeting,Not Sampled,Assumed Positive,Greencap Pty Ltd,Good,Low,,NO,,"Confirm status, label, maintain in
current condition and incorporate
into an AMP. Remove by licensed
asbestos contractor prior to
demolition or refurbishment.",Height Restricted,,,,,,,,J169642-001-PHOTO053.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Ground,Former Laundry,Stored Item,Stored item(s),Non-friable,Non_friable,Cement products,Cement_products,Flat Sheeting,As Per J169642-001-017,Assumed Negative,Greencap Pty Ltd,N/A (assumed negative),N/A (assumed negative),,NO,,,,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Ground,Former Laundry - External Passage,Electrical Distribution Board,Electrical board,Non-friable,Non_friable,Bitumen products,Bitumen_products,Compressed Electrical Panels,Not Sampled,Assumed Positive,Greencap Pty Ltd,Good,Low,,NO,,"Confirm status, label, maintain in
current condition and incorporate
into an AMP. Remove by licensed
asbestos contractor prior to
demolition or refurbishment.",,,,,,,,,J169642-001-PHOTO052.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Ground,Medical Imprest Store Room,Floor ,Floor covering,Non-friable,Non_friable,Vinyl products,Vinyl_products,Vinyl sheet ,J169642-001-008,Negative,Greencap Pty Ltd,N/A (negative),N/A (negative),,NO,,,,,,,,,,,
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Ground,Multi Purpose Area  Adjacent CCSD,Fire Door,Fire Door(s),Friable,Friable,Insulation products (f),Insulation_products__f,Fire Door Core,Not Sampled,Assumed Positive,Greencap Pty Ltd,Good,Low,,NO,,"Confirm status, label, maintain in
current condition and incorporate
into an AMP. Remove by licensed
asbestos contractor prior to
demolition or refurbishment.",,,,,,,,,J169642-001-PHOTO030.jpg J169642-001-PHOTO031.jpg
DHHS,Alexandra District Health,Alexandra District Hospital,Old Alexandra Hospital Site,Old Alexandra Hospital,Hospital,24 Cooper Street,Alexandra,3714,Owned,,Every day,YES,9/7/2020,,,1,,,Internal,Ground,Rear Exit Foyer Adjacent Medical Records,Floor ,Floor covering (beneath carpet),Non-friable,Non_friable,Vinyl products,Vinyl_products,Vinyl Tiles ,35766/07 35766/08X,Positive,Greencap Pty Ltd,Good,Low,,NO,,"Maintain in current condition, label
and incorporate into an AMP.
Remove by licensed asbestos
contractor prior to demolition or
refurbishment.",Grey Beneath Carpet,,,,,,,,J169642-001-PHOTO017.jpg
