Department,Agency,Sub Agency,Site Name (if applicable),Building Name,Building Type,Building Address,Suburb,Postcode,Owned or Leased,Building Unique ID,Frequency of use,Public Access?,Date of Inspection,Estimated Year Built,Est. Building Size (m2),Number of Levels,Construction Type,Roof Type,Internal / External,Level,Room or Area,Location in Room,Specific Item/ACM Name,Friability of material,ACM Product Group,ACM Product Type,NATA Endorsed Sample number (if available),Sample Result,Identifying Hygiene or Consulting Company,Condition,Disturbance Potential,Quantity,Labelled,Label Details,Hygienist Recommendations,Additional Comments,PSB Supplied ACM ID,Assumed Removed?,Date of Removal,Quantity Removed,Asbestos Removal Notification No,EPA Waste Transport Certificate No
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Ground,Main Foyer,Floor,Floor covering,Non-friable,Vinyl products,Vinyl sheet ,34511-039-001,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Cream.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Ground,Front Desk Area,Floor,Floor covering,Non-friable,Vinyl products,Vinyl sheet ,34511-039-002,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Grey.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Ground,Front Desk Area,Filing Cabinet,Filing Cabinet,Non-friable,Insulation Products,Internal Lining,Not Sampled,Assumed Positive,Prensa Pty Ltd,Good,Low,3,YES,Labelled,,,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Ground,Soft Interview Room No.2,Skirting Board,Skirting,Non-friable,Vinyl products,Vinyl sheet ,34511-039-003,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Brown.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Ground,Kitchenette,Floor,Floor covering,Non-friable,Vinyl products,Hessian backed Vinyl sheet ,34511-039-004,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Dark grey.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Ground,Corridor Adjacent Cells and Custody Counter,Floor,Floor covering,Non-friable,Vinyl products,Vinyl sheet ,As Per 34511-039-001,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Cream.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Ground,Lift Foyer,Floor,Floor covering,Non-friable,Vinyl products,Vinyl sheet ,As Per 34511-039-001,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Cream.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Level 1,Switch Room,Switchboard,Fuse cartridge,Non-friable,Insulation Products,Electrical Components,Not Sampled,Assumed Positive,Prensa Pty Ltd,Good,Low,60,YES,Labelled,,,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Level 1,Switch Room,Automatic Battery Charger,Fuse cartridge,Non-friable,Insulation Products,Electrical Components,Not Sampled,Assumed Positive,Prensa Pty Ltd,Good,Low,12,YES,Labelled,,,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Level 1,Comms Area,Floor,Floor covering,Non-friable,Vinyl products,Vinyl Tiles ,34511-039-006,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Speckled.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Level 1,Fan Room,Air Handling Unit Ductwork,Flange joints,Non-friable,"Gasket, friction products and adhesives",Mastic,34511-039-007,Positive,Prensa Pty Ltd,Good,Low,,YES,Labelled,,,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Level 1,Fan Room,Wall Opposite AHU Inlet,Infill panels,Non-friable,Cement products,Flat Sheeting,34511-039-008,Positive,Prensa Pty Ltd,Good,Low,2,YES,Labelled,,,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Level 1,Male Locker Room,Floor,Floor covering,Non-friable,Vinyl products,Vinyl sheet ,34511-039-009,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Beige.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Level 1,Male Locker Room,Wall Adjacent Entrance To Office,Wall lining,Non-friable,Vinyl products,Vinyl sheet ,34511-039-010,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Black.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Level 1,Throughout,Male Locker Room,Skirting,Non-friable,Vinyl products,Vinyl sheet ,As Per 34511-039-003,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Brown.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Level 1,Kitchen,Floor,Floor covering,Non-friable,Vinyl products,Vinyl sheet ,As Per 34511-039-009,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Beige.,,,,,,
DJCS,Victoria Police,Broadmeadows Police Station,Broadmeadows Police Station,Broadmeadows Police Station,Police Station,15 Dimboola Road,Broadmeadows,3047,Owned,,Every day,YES,4/8/2020,1985,6272.00,2,Brick,Metal,Internal,Level 1,Kitchen,Wall,Skirting,Non-friable,Vinyl products,Vinyl sheet ,As Per 34511-039-003,Negative,Prensa Pty Ltd,N/A (negative),N/A (negative),,NO,,,Brown.,,,,,,
