Area / Level Room& Location Feature,Area / Level Room& Location Feature_1,Area / Level Room& Location Feature_2,Item Description,Hazard Type Hazard Status,Sample Number,Friability,Labelled Y/N,Source of Asbestos That is Not Fixed or Installed Workplace Activities Likely to Disturb Asbestos,Potential,Condition,Risk Status,Quantity,Control Priority,Comments &Recommendations,Date of Identification Reinspect Date,Date of Identification Reinspect Date_1,Photograph
First floor,Comms area,Floor,Vinyl floor tile (speckled),Asbestos Negative,34511-039- 006,-,- -,-,-,-,-,-,-,-,-,-,
First floor,Fan Room,Air handling unit ductwork Flange,mastic (grey),Asbestos Positive,34511-039- 007,Non-friable,Yes -,None under normal occupation and use,Low,Good,Low,Throughout,P4,Maintain in current condition if to remain in-situ. Remove under controlled bonded asbestos removal conditions prior to refurbishment or demolition works by a Class A (friable & non- friable) or Class B (non-friable) licensed asbestos removal contractor.,Apr-20,Apr-25,
First floor,Fan Room,Wall opposite AHU inlet,Fibre cement sheet infill panel,Asbestos Positive,34511-039- 008,Non-friable,Yes -,None under normal occupation and use,Low,Good,Low,2m 2,P4,Maintain in current condition if to remain in-situ. Remove under controlled bonded asbestos removal conditions prior to refurbishment or demolition works by a Class A (friable & non- friable) or Class B (non-friable) licensed asbestos removal contractor.,Apr-20,Apr-25,
First floor,Male locker room,Floor,Vinyl sheet (beige),Asbestos Negative,34511-039- 009,-,-,-,-,-,-,-,-,-,-,-,
First floor,Male locker room,Wall adjacent entrance to office,Vinyl sheet (black),Asbestos Negative,34511-039- 010,-,-,-,-,-,-,-,-,-,-,-,
First floor,Male locker room,Throughout,Skirting vinyl sheet (brown),Asbestos Negative,Same as 34511-039- 003,-,-,-,-,-,-,-,-,-,-,-,
First floor,Kitchen,Floor,Vinyl sheet (beige),Asbestos Negative,Same as 34511-039- 009,-,-,-,-,-,-,-,-,-,-,-,
First floor,Kitchen,Wall,Skirting vinyl sheet (brown),Asbestos Negative,Same as 34511-039- 003,-,-,-,-,-,-,-,-,-,-,-,
First floor,Fan Room 2.24,Air handling unit ductwork,Flange mastic (grey),Asbestos Positive,Same as 34511-039- 007,Non-friable,Yes -,None under normal occupation and use,Low,Good,Low,10 lm,P4 Maintain,in current condition if to remain in-situ. Remove under controlled bonded asbestos removal conditions prior to refurbishment or demolition works by a Class A (friable & non- friable) or Class B (non-friable) licensed asbestos removal contractor.,Apr-20,Apr-25,
External,Fan Room,Brick wall,Construction joint mastic (brown),Asbestos Negative,34511-039- 011,-,- -,-,-,-,-,-,-,-,-,-,
