Area / Level Room&,Location,Feature,Item Description,Hazard Type,Hazard Status,Sample Number Friability,Labelled Y/N,That Fixed,Source of Asbestos is Not or Installed Workplace Activities Likely Disturb Asbestos,Potential,Condition,Risk Status,Quantity Control Priority,Comments &Recommendations,Date of Identification,Reinspect Date,Photograph,Site Address: Broadmeadows Police Station.
External,Fan Room,Air handling unit ductwork,Flange mastic (grey),Asbestos,Positive,Same as 34511-039- 007,Non-friable,Yes,- None normal occupation and,under use Low,Good,Low,10 lm,P4 Maintain in current condition if to remain in-situ. Remove under controlled bonded asbestos removal conditions prior to refurbishment or demolition works by a Class A (friable & non- friable) or Class B (non-friable) licensed asbestos removal contractor.,Apr-20,Apr-25,,
External,Boiler Room,Switchboard,Fuses,Asbestos,Assumed positive,-,Non-friable,Yes,- None and,under normal occupation use Low,Good,Low,1m 2,"P4 Confirm Status, label as containing asbestos and maintain in current condition if to remain in-situ, remove under controlled bonded asbestos removal conditions prior to refurbishment or demolition works by a Class A (friable & non-friable) or Class B (non-friable) licensed asbestos removal contractor.",Apr-20,Apr-25,,
External,Boiler Room,Boiler pipework,Gasket (black),Asbestos,Negative,34511-039- 012,-,-,-,-,-,-,-,- -,-,-,,
External,Boiler Room,Boiler pipework,Gasket (orange),Asbestos,Negative,34511-039- 013,-,-,-,-,-,-,-,- -,-,-,,
External,Boiler Room,Wall,Construction joint mastic,Asbestos,Negative,34511-039- 014,-,-,-,-,-,-,-,- -,-,-,,
External,East roof fan room,Walls throughout,Fibre cement sheet infill panel,Asbestos,Negative,34511-039- 016,-,-,-,-,-,-,-,- -,-,-,,
External,Roof,East ductwork,Flange mastic (grey),Asbestos,Positive,34511-039- 015,Non-friable,Yes,- None and,under normal occupation use Low,Good,Low,20m 2,P4 Maintain in current condition if to remain in-situ. Remove under controlled bonded asbestos removal conditions prior to refurbishment or demolition works by a Class A (friable & non- friable) or Class B (non-friable) licensed asbestos removal contractor.,Apr-20,Apr-25,,
External,East roof fan room,Ceiling,Fibre cement sheet infill panel,Asbestos,Negative,Same as 34511-039- 016,-,-,-,-,-,-,-,- -,-,-,,
External,Brown walls throughout,Brown walls throughout,Construction joint mastic,Asbestos,Negative,Same as 34511-039- 014,-,-,-,-,-,-,-,- -,-,-,,
Internal,"Ground, property storage",Grey speckled floor,Vinyl sheet (grey speckled),Asbestos,Negative,34511-039- 017,-,-,-,-,-,-,-,- -,-,-,,
